Year,State,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
2004,ANDHRA PRADESH,456636,501990,958626,350869,372144,723013
2004,ANDHRA PRADESH,432612,463724,896336,331841,328371,660212
2004,ANDHRA PRADESH,474981,501031,976012,372376,373141,745517
2004,ANDHRA PRADESH,752037,763537,1515574,499805,465930,965735
2004,ANDHRA PRADESH,584519,608778,1193297,428618,394242,822860
2004,ANDHRA PRADESH,495523,527590,1023113,390353,391393,781746
2004,ANDHRA PRADESH,577524,587460,1164984,430057,401995,832052
2004,ANDHRA PRADESH,530732,543491,1074223,410408,405085,815493
2004,ANDHRA PRADESH,446972,457235,904207,361734,340981,702715
2004,ANDHRA PRADESH,491586,504589,996175,386624,379148,765772
2004,ANDHRA PRADESH,568841,582831,1151672,455430,439424,894854
2004,ANDHRA PRADESH,488639,504731,993370,379864,372549,752413
2004,ANDHRA PRADESH,732558,732099,1464657,488452,455314,943766
2004,ANDHRA PRADESH,433606,446542,880148,340198,331118,671316
2004,ANDHRA PRADESH,578860,594094,1172954,421887,398237,820124
2004,ANDHRA PRADESH,467315,481614,948929,369783,363894,733677
2004,ANDHRA PRADESH,622562,632478,1255040,458277,439612,897889
2004,ANDHRA PRADESH,522994,541001,1063995,393771,401773,795544
2004,ANDHRA PRADESH,568779,584402,1153181,426257,407568,833825
2004,ANDHRA PRADESH,597413,618160,1215573,433018,415977,848995
2004,ANDHRA PRADESH,577837,592488,1170325,445882,428543,874425
2004,ANDHRA PRADESH,487417,503952,991369,353593,335294,688887
2004,ANDHRA PRADESH,560870,582635,1143505,409552,404495,814047
2004,ANDHRA PRADESH,595681,583530,1179211,454423,410983,865406
2004,ANDHRA PRADESH,642399,638524,1280923,455686,417684,873370
2004,ANDHRA PRADESH,644392,666332,1310724,426974,391342,818316
2004,ANDHRA PRADESH,584204,598036,1182240,421700,407024,828724
2004,ANDHRA PRADESH,645210,651334,1296544,456705,425919,882624
2004,ANDHRA PRADESH,672495,693427,1365922,434557,431686,866243
2004,ANDHRA PRADESH,897469,873256,1770725,534429,451958,986387
2004,ANDHRA PRADESH,957096,893598,1850694,535769,437457,973226
2004,ANDHRA PRADESH,875287,851831,1727118,583672,535157,1118829
2004,ANDHRA PRADESH,621061,638065,1259126,458161,441213,899374
2004,ANDHRA PRADESH,527909,600403,1128312,407716,373922,781638
2004,ANDHRA PRADESH,558091,582743,1140834,425302,405299,830601
2004,ANDHRA PRADESH,700069,686474,1386543,494220,444582,938802
2004,ANDHRA PRADESH,667341,677445,1344786,426115,448252,874367
2004,ANDHRA PRADESH,605032,602057,1207089,430730,400594,831324
2004,ANDHRA PRADESH,602200,612967,1215167,473953,447563,921516
2004,ANDHRA PRADESH,646316,652298,1298614,511288,509235,1020523
2004,ANDHRA PRADESH,821762,783401,1605163,558303,488605,1046908
2004,ANDHRA PRADESH,640291,649051,1289342,491667,469741,961408
2004,ARUNACHAL PRADESH,197817,196611,394428,112035,108583,220618
2004,ARUNACHAL PRADESH,153747,135859,289606,87378,75326,162704
2004,ASSAM,509602,469503,979105,396084,274981,671065
2004,ASSAM,458334,420909,879243,317732,290152,607884
2004,ASSAM,302576,276708,579284,215532,186080,401612
2004,ASSAM,592290,557649,1149939,454749,408714,863463
2004,ASSAM,628100,588453,1216553,528516,438399,966915
2004,ASSAM,568311,507438,1075749,413501,349113,762614
2004,ASSAM,752020,689340,1441360,486932,394764,881696
2004,ASSAM,628045,581794,1209839,474610,374131,848741
2004,ASSAM,522608,483781,1006389,389084,331098,720182
2004,ASSAM,598536,550708,1149244,424976,360909,785885
2004,ASSAM,607858,545625,1153483,418924,344693,763617
2004,ASSAM,559388,518761,1078149,372061,295912,667973
2004,ASSAM,511791,458114,969905,347962,283454,631416
2004,ASSAM,582132,544500,1126632,430791,369310,800101
2004,BIHAR,627800,532475,1160275,360008,210806,570814
2004,BIHAR,687560,590603,1278163,374132,195736,569868
2004,BIHAR,672008,549708,1221716,421100,257970,679070
2004,BIHAR,683333,547845,1231178,416693,277794,694487
2004,BIHAR,550118,504323,1054441,361423,276121,637544
2004,BIHAR,568850,545815,1114665,431848,232533,664381
2004,BIHAR,622400,542517,1164917,266722,179309,446031
2004,BIHAR,708069,500765,1208834,448654,324911,773565
2004,BIHAR,652751,544594,1197345,435583,313098,748681
2004,BIHAR,665225,572120,1237345,452811,331163,783974
2004,BIHAR,674804,590328,1265132,408257,282534,690791
2004,BIHAR,645338,569090,1214428,406560,259824,666384
2004,BIHAR,675680,581953,1257633,399706,295430,695136
2004,BIHAR,609549,554268,1163817,381543,322700,704243
2004,BIHAR,645171,557285,1202456,433596,330506,764102
2004,BIHAR,660747,584986,1245733,411968,301814,713782
2004,BIHAR,762349,671444,1433793,498015,366673,864688
2004,BIHAR,657091,585760,1242851,507687,356382,864069
2004,BIHAR,630146,551451,1181597,335890,296440,632330
2004,BIHAR,671387,616279,1287666,402119,336153,738272
2004,BIHAR,620337,567153,1187490,371244,324413,695657
2004,BIHAR,622535,562427,1184962,367397,285042,652439
2004,BIHAR,669530,608946,1278476,442216,371099,813315
2004,BIHAR,614568,564923,1179491,389982,319033,709015
2004,BIHAR,615925,542117,1158042,377288,327134,704422
2004,BIHAR,649519,564095,1213614,418254,295634,713888
2004,BIHAR,742323,645714,1388037,438041,319225,757266
2004,BIHAR,638246,558725,1196971,385681,290288,675969
2004,BIHAR,715744,594298,1310042,497596,340613,838209
2004,BIHAR,680576,600387,1280963,405857,272790,678647
2004,BIHAR,683838,628133,1311971,514460,380629,895089
2004,BIHAR,954178,787042,1741220,557564,343992,901556
2004,BIHAR,736947,623847,1360794,492604,295176,787780
2004,BIHAR,678823,543618,1222441,422385,226731,649116
2004,BIHAR,686829,604971,1291800,427441,269824,697265
2004,BIHAR,708383,590466,1298849,466678,267247,733925
2004,BIHAR,752359,649614,1401973,483446,283713,767159
2004,BIHAR,658975,587781,1246756,460350,403438,863788
2004,BIHAR,792534,712938,1505472,587252,422709,1009961
2004,BIHAR,760863,675460,1436323,535088,348286,883374
2004,GOA,214333,211330,425663,133550,120354,253904
2004,GOA,261514,253990,515504,152606,144580,297186
2004,GUJARAT,512531,494032,1006563,250377,208603,458980
2004,GUJARAT,573510,536146,1109656,269966,185554,455520
2004,GUJARAT,550481,521694,1072175,252970,180422,433392
2004,GUJARAT,851198,798937,1650135,319930,218450,538380
2004,GUJARAT,512684,482343,995027,277020,213311,490331
2004,GUJARAT,638826,600572,1239398,365514,292766,658280
2004,GUJARAT,526194,499321,1025515,270521,205027,475548
2004,GUJARAT,642149,594267,1236416,268338,176465,444803
2004,GUJARAT,595408,560770,1156178,298012,218519,516531
2004,GUJARAT,734567,648226,1382793,320175,228216,548391
2004,GUJARAT,1101787,1025042,2126829,483481,361731,845212
2004,GUJARAT,619862,616204,1236066,379891,315466,695357
2004,GUJARAT,565308,567690,1132998,297709,240350,538059
2004,GUJARAT,671444,640403,1311847,380955,261615,642570
2004,GUJARAT,639446,632816,1272262,356984,297396,654380
2004,GUJARAT,647112,618238,1265350,344933,250363,595296
2004,GUJARAT,612602,599851,1212453,290079,227730,517809
2004,GUJARAT,590826,552690,1143516,312285,224816,537101
2004,GUJARAT,587059,559186,1146245,274003,176805,450808
2004,GUJARAT,591736,553814,1145550,343086,248612,591698
2004,GUJARAT,546611,518805,1065416,310496,245997,556493
2004,GUJARAT,851734,805133,1656867,381359,270618,651977
2004,GUJARAT,635322,604348,1239670,378928,301591,680519
2004,GUJARAT,1302228,1074970,2377198,529360,366873,896233
2004,GUJARAT,572013,577148,1149161,338913,305806,644719
2004,GUJARAT,669122,650656,1319778,369644,320322,689966
2004,HARYANA,645266,554072,1199338,467963,379710,847673
2004,HARYANA,629227,532706,1161933,472534,378146,850680
2004,HARYANA,671727,568617,1240344,464244,354361,818605
2004,HARYANA,627795,510976,1138771,419733,316777,736510
2004,HARYANA,573080,482530,1055610,372324,289317,661641
2004,HARYANA,842158,704420,1546578,494586,350061,844647
