State,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
ANDHRA PRADESH CODE : S01,SRIKAKULAM NO : 1,456636,501990,958626,350869,372144,723013
ANDHRA PRADESH CODE : S01,PARVATHIPURAM (ST) NO : 2,432612,463724,896336,331841,328371,660212
ANDHRA PRADESH CODE : S01,BOBBILI NO : 3,474981,501031,976012,372376,373141,745517
ANDHRA PRADESH CODE : S01,VISAKHAPATNAM NO : 4,752037,763537,1515574,499805,465930,965735
ANDHRA PRADESH CODE : S01,BHADRACHALAM (ST) NO : 5,584519,608778,1193297,428618,394242,822860
ANDHRA PRADESH CODE : S01,ANAKAPALLI NO : 6,495523,527590,1023113,390353,391393,781746
ANDHRA PRADESH CODE : S01,KAKINADA NO : 7,577524,587460,1164984,430057,401995,832052
ANDHRA PRADESH CODE : S01,RAJAHMUNDRY NO : 8,530732,543491,1074223,410408,405085,815493
ANDHRA PRADESH CODE : S01,AMALAPURAM (SC) NO : 9,446972,457235,904207,361734,340981,702715
ANDHRA PRADESH CODE : S01,NARASAPUR NO : 10,491586,504589,996175,386624,379148,765772
ANDHRA PRADESH CODE : S01,ELURU NO : 11,568841,582831,1151672,455430,439424,894854
ANDHRA PRADESH CODE : S01,MACHILIPATNAM NO : 12,488639,504731,993370,379864,372549,752413
ANDHRA PRADESH CODE : S01,VIJAYAWADA NO : 13,732558,732099,1464657,488452,455314,943766
ANDHRA PRADESH CODE : S01,TENALI NO : 14,433606,446542,880148,340198,331118,671316
ANDHRA PRADESH CODE : S01,GUNTUR NO : 15,578860,594094,1172954,421887,398237,820124
ANDHRA PRADESH CODE : S01,BAPATLA NO : 16,467315,481614,948929,369783,363894,733677
ANDHRA PRADESH CODE : S01,NARASARAOPET NO : 17,622562,632478,1255040,458277,439612,897889
ANDHRA PRADESH CODE : S01,ONGOLE NO : 18,522994,541001,1063995,393771,401773,795544
ANDHRA PRADESH CODE : S01,NELLORE (SC) NO : 19,568779,584402,1153181,426257,407568,833825
ANDHRA PRADESH CODE : S01,TIRUPATHI (SC) NO : 20,597413,618160,1215573,433018,415977,848995
ANDHRA PRADESH CODE : S01,CHITTOOR NO : 21,577837,592488,1170325,445882,428543,874425
ANDHRA PRADESH CODE : S01,RAJAMPET NO : 22,487417,503952,991369,353593,335294,688887
ANDHRA PRADESH CODE : S01,CUDDAPAH NO : 23,560870,582635,1143505,409552,404495,814047
ANDHRA PRADESH CODE : S01,HINDUPUR NO : 24,595681,583530,1179211,454423,410983,865406
ANDHRA PRADESH CODE : S01,ANANTAPUR NO : 25,642399,638524,1280923,455686,417684,873370
ANDHRA PRADESH CODE : S01,KURNOOL NO : 26,644392,666332,1310724,426974,391342,818316
ANDHRA PRADESH CODE : S01,NANDYAL NO : 27,584204,598036,1182240,421700,407024,828724
ANDHRA PRADESH CODE : S01,NAGARKURNOOL (SC) NO : 28,645210,651334,1296544,456705,425919,882624
ANDHRA PRADESH CODE : S01,MAHABUBNAGAR NO : 29,672495,693427,1365922,434557,431686,866243
ANDHRA PRADESH CODE : S01,HYDERABAD NO : 30,897469,873256,1770725,534429,451958,986387
ANDHRA PRADESH CODE : S01,SECUNDERABAD NO : 31,957096,893598,1850694,535769,437457,973226
ANDHRA PRADESH CODE : S01,SIDDIPET (SC) NO : 32,875287,851831,1727118,583672,535157,1118829
ANDHRA PRADESH CODE : S01,MEDAK NO : 33,621061,638065,1259126,458161,441213,899374
ANDHRA PRADESH CODE : S01,NIZAMABAD NO : 34,527909,600403,1128312,407716,373922,781638
ANDHRA PRADESH CODE : S01,ADILABAD NO : 35,558091,582743,1140834,425302,405299,830601
ANDHRA PRADESH CODE : S01,PEDDAPALLI (SC) NO : 36,700069,686474,1386543,494220,444582,938802
ANDHRA PRADESH CODE : S01,KARIMNAGAR NO : 37,667341,677445,1344786,426115,448252,874367
ANDHRA PRADESH CODE : S01,HANAMKONDA NO : 38,605032,602057,1207089,430730,400594,831324
ANDHRA PRADESH CODE : S01,WARANGAL NO : 39,602200,612967,1215167,473953,447563,921516
ANDHRA PRADESH CODE : S01,KHAMMAM NO : 40,646316,652298,1298614,511288,509235,1020523
ANDHRA PRADESH CODE : S01,NALGONDA NO : 41,821762,783401,1605163,558303,488605,1046908
ANDHRA PRADESH CODE : S01,MIRYALGUDA NO : 42,640291,649051,1289342,491667,469741,961408
ARUNACHAL PRADESH CODE : S02,ARUNACHAL WEST NO : 1,197817,196611,394428,112035,108583,220618
ARUNACHAL PRADESH CODE : S02,ARUNACHAL EAST NO : 2,153747,135859,289606,87378,75326,162704
ASSAM CODE : S03,KARIMGANJ (SC) NO : 1,509602,469503,979105,396084,274981,671065
ASSAM CODE : S03,SILCHAR NO : 2,458334,420909,879243,317732,290152,607884
ASSAM CODE : S03,AUTONOMOUS DISTRICT (ST) NO : 3,302576,276708,579284,215532,186080,401612
ASSAM CODE : S03,DHUBRI NO : 4,592290,557649,1149939,454749,408714,863463
ASSAM CODE : S03,KOKRAJHAR (ST) NO : 5,628100,588453,1216553,528516,438399,966915
ASSAM CODE : S03,BARPETA NO : 6,568311,507438,1075749,413501,349113,762614
ASSAM CODE : S03,GAUHATI NO : 7,752020,689340,1441360,486932,394764,881696
ASSAM CODE : S03,MANGALDOI NO : 8,628045,581794,1209839,474610,374131,848741
ASSAM CODE : S03,TEZPUR NO : 9,522608,483781,1006389,389084,331098,720182
ASSAM CODE : S03,NOWGONG NO : 10,598536,550708,1149244,424976,360909,785885
ASSAM CODE : S03,KALIABOR NO : 11,607858,545625,1153483,418924,344693,763617
ASSAM CODE : S03,JORHAT NO : 12,559388,518761,1078149,372061,295912,667973
ASSAM CODE : S03,DIBRUGARH NO : 13,511791,458114,969905,347962,283454,631416
ASSAM CODE : S03,LAKHIMPUR NO : 14,582132,544500,1126632,430791,369310,800101
BIHAR CODE : S04,BAGAHA (SC) NO : 1,627800,532475,1160275,360008,210806,570814
BIHAR CODE : S04,BETTIAH NO : 2,687560,590603,1278163,374132,195736,569868
BIHAR CODE : S04,MOTIHARI NO : 3,672008,549708,1221716,421100,257970,679070
BIHAR CODE : S04,GOPALGANJ NO : 4,683333,547845,1231178,416693,277794,694487
BIHAR CODE : S04,SIWAN NO : 5,550118,504323,1054441,361423,276121,637544
BIHAR CODE : S04,MAHARAJGANJ NO : 6,568850,545815,1114665,431848,232533,664381
BIHAR CODE : S04,CHAPRA NO : 7,622400,542517,1164917,266722,179309,446031
BIHAR CODE : S04,HAJIPUR (SC) NO : 8,708069,500765,1208834,448654,324911,773565
BIHAR CODE : S04,VAISHALI NO : 9,652751,544594,1197345,435583,313098,748681
BIHAR CODE : S04,MUZAFFARPUR NO : 10,665225,572120,1237345,452811,331163,783974
BIHAR CODE : S04,SITAMARHI NO : 11,674804,590328,1265132,408257,282534,690791
BIHAR CODE : S04,SHEOHAR NO : 12,645338,569090,1214428,406560,259824,666384
BIHAR CODE : S04,MADHUBANI NO : 13,675680,581953,1257633,399706,295430,695136
BIHAR CODE : S04,JHANJHARPUR NO : 14,609549,554268,1163817,381543,322700,704243
BIHAR CODE : S04,DARBHANGA NO : 15,645171,557285,1202456,433596,330506,764102
BIHAR CODE : S04,ROSERA (SC) NO : 16,660747,584986,1245733,411968,301814,713782
BIHAR CODE : S04,SAMASTIPUR NO : 17,762349,671444,1433793,498015,366673,864688
BIHAR CODE : S04,BARH NO : 18,657091,585760,1242851,507687,356382,864069
BIHAR CODE : S04,BALIA NO : 19,630146,551451,1181597,335890,296440,632330
BIHAR CODE : S04,SAHARSA NO : 20,671387,616279,1287666,402119,336153,738272
BIHAR CODE : S04,MADHEPURA NO : 21,620337,567153,1187490,371244,324413,695657
BIHAR CODE : S04,ARARIA (SC) NO : 22,622535,562427,1184962,367397,285042,652439
BIHAR CODE : S04,KISHANGANJ NO : 23,669530,608946,1278476,442216,371099,813315
BIHAR CODE : S04,PURNEA NO : 24,614568,564923,1179491,389982,319033,709015
