State_Code,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
S01,Adilabad,553276,577935,1131211,426628,436702,863330
S01,Peddapalle,665931,649711,1315642,457232,445505,902737
S01,Karimnagar,750230,745981,1496211,483062,502778,985840
S01,Nizamabad,620331,712940,1333271,412357,474706,887063
S01,Zahirabad,663377,696189,1359566,503730,509631,1013361
S01,Medak,688872,700849,1389721,530855,525384,1056239
S01,Malkajgiri,1232042,1111008,2343050,650733,554328,1205061
S01,Secundrabad,820210,754608,1574818,465807,398461,864268
S01,Hyderabad,713185,680057,1393242,388858,342190,731048
S01,CHELVELLA,860583,821081,1681664,576888,507208,1084096
S01,Mahbubnagar,672615,696253,1368868,463997,460541,924538
S01,Nagarkurnool,723606,736878,1460484,523043,498919,1021962
S01,Nalgonda,720289,734727,1455016,544783,528438,1073221
S01,Bhongir,743549,734842,1478391,578336,547142,1125478
S01,Warangal,745451,741166,1486617,522672,506209,1028881
S01,Mahabubabad,622763,642633,1265396,495996,498535,994531
S01,Khammam,622897,636918,1259815,511629,517445,1029074
S01,Aruku,569558,612956,1182514,393733,394532,788265
S01,Srikakulam,593164,632961,1226125,432881,481473,914354
S01,Vizianagaram,648660,674578,1323238,500803,514440,1015243
S01,Visakhapatnam,694305,693177,1387482,503029,505248,1008277
S01,Anakapalli,645358,686337,1331695,511085,532462,1043547
S01,Kakinada,625643,639451,1265094,488602,473269,961871
S01,Amalapuram,631884,643403,1275287,523627,496732,1020359
S01,Rajahmundry,620109,640865,1260974,504751,508816,1013567
S01,Narsapuram,567321,605817,1173138,479594,505752,985346
S01,Eluru,626309,649266,1275575,533582,539881,1073463
S01,Machilipatnam,610668,640385,1251053,513085,525756,1038841
S01,Vijayawada,693391,708924,1402315,542392,541687,1084079
S01,Guntur,670591,694586,1365177,517772,521498,1039270
S01,Narasaraopet,666307,694124,1360431,540727,536360,1077087
S01,Bapatla,645077,676530,1321607,512741,526478,1039219
S01,Ongole,678033,697525,1375558,504746,509530,1014276
S01,Nandyal,668917,689794,1358711,499884,493100,992984
S01,Kurnool,644185,663127,1307312,441813,427162,868975
S01,Anantapur,706671,704789,1411460,508872,487516,996388
S01,Hindupur,694982,682628,1377610,526500,496166,1022666
S01,Kadapa,655340,692376,1347716,497845,522288,1020133
S01,Nellore,712629,738309,1450938,495198,502627,997825
S01,Tirupati,720141,744755,1464896,528737,528847,1057584
S01,Rajampet,638747,672702,1311449,494626,497166,991792
S01,Chittoor,637644,654277,1291921,519083,522944,1042027
S02,Arunachal West,215516,217852,433368,143218,142484,285702
S02,Arunachal East,154148,147025,301173,112127,102800,214927
S03,Karimganj,562597,506214,1068811,394740,290305,685045
S03,Silchar,514337,464173,978510,384646,303828,688474
S03,Autonomous District,356252,337155,693407,253011,227954,480965
S03,Dhubri,704869,667080,1371949,546295,500622,1046917
S03,Kokrajhar,707603,670234,1377837,545011,469496,1014507
S03,Barpeta,657292,582315,1239607,484829,415211,900040
S03,Gauhati,890882,832978,1723860,593862,517174,1111036
S03,Mangaldoi,734691,681991,1416682,537942,451430,989372
S03,Tezpur,624154,585978,1210132,442378,400128,842506
S03,Nowgong,726396,684935,1411331,522876,476737,999613
S03,Kaliabor,690698,657673,1348371,507761,451967,959728
S03,Jorhat,605285,577064,1182349,410091,351671,761762
S03,Dibrugarh,574337,540628,1114965,402751,346925,749676
S03,Lakhimpur,681702,650816,1332518,480904,429375,910279
S04,Valmiki Nagar,690155,585498,1275653,339692,259701,599393
S04,Paschim Champaran,658427,562441,1220868,312993,202471,515464
S04,Purvi Champaran,640901,546363,1187264,288537,193557,482094
S04,Sheohar,677666,591390,1269056,315132,257880,573012
S04,Sitamarhi,718861,636956,1355817,313969,262755,576724
S04,Madhubani,755812,641444,1397256,283266,273270,556536
S04,Jhanjharpur,757310,661667,1418977,320132,287701,607833
S04,Supaul,672904,606645,1279549,350584,347052,697636
S04,Araria,689715,621510,1311225,387496,342957,730453
S04,Kishanganj,624429,561940,1186369,342938,283976,626914
S04,Katihar,675944,596825,1272769,380393,344269,724662
S04,Purnia,688182,617214,1305396,372798,331840,704638
S04,Madhepura,790185,718176,1508361,393278,363154,756432
S04,Darbhanga,705273,601794,1307067,287291,258409,545700
S04,Muzaffarpur,717235,622714,1339949,322168,299579,621747
S04,Vaishali,681119,597772,1278891,382833,241997,624830
S04,Gopalganj,729998,619074,1349072,277973,226629,504602
S04,Siwan,695849,586631,1282480,332227,309351,641578
S04,Maharajganj,693365,618854,1312219,305348,294288,599636
S04,Saran,687733,580605,1268338,313662,267417,581079
S04,Hajipur,719328,607747,1327075,300020,255069,555089
S04,Ujiarpur,657230,572097,1229327,294785,269340,564125
S04,Samastipur,702480,610468,1312948,307807,276895,584702
S04,Begusarai,785353,687910,1473263,371430,346660,718090
S04,Khagaria,712072,630898,1342970,324352,300618,624970
S04,Bhagalpur,774758,658588,1433346,360157,268906,629063
S04,Banka,716138,621887,1338025,353829,298379,652208
S04,Munger,849060,715544,1564604,385159,266402,651561
S04,Nalanda,915776,803727,1719503,334197,234004,568201
S04,Patna Sahib,909917,732059,1641976,345022,207271,552293
S04,Pataliputra,817820,708421,1526241,376668,251511,628179
S04,Arrah,855070,700052,1555122,346045,210234,556279
S04,Buxar,732535,608357,1340892,371805,251756,623561
S04,Sasaram,750643,652146,1402789,358418,240613,599031
S04,Karakat,748457,638177,1386634,355460,221166,576626
S04,Jahanabad,680766,596146,1276912,347421,251756,599177
S04,Aurangabad,738617,637706,1376323,355167,243117,598284
S04,Gaya,705874,623318,1329192,331062,233116,564178
S04,Nawada,745335,652177,1397512,311881,269694,581575
S04,Jamui,752515,651501,1404016,304771,230481,535252
S05,North Goa,244289,242694,486983,152273,139790,292063
S05,South Goa,268186,265625,533811,138005,133692,271697
S06,Kachchh,683838,641776,1325614,310999,252897,563896
S06,Banaskantha,669335,627536,1296871,372744,273427,646171
S06,Patan,720986,696637,1417623,357266,275934,633200
S06,Mahesana,704706,689264,1393970,378529,314749,693278
S06,Sabarkantha,736952,715288,1452240,393228,324357,717585
S06,Gandhinagar,799664,756045,1555709,440864,349505,790369
S06,Ahmedabad East,744345,667416,1411761,350975,246786,597761
S06,Ahmedabad West,742922,688158,1431080,390594,299456,690050
S06,Surendranagar,765928,709892,1475820,346618,239681,586299
S06,Rajkot,755369,699703,1455072,378231,271173,649404
S06,Porbandar,719638,666180,1385818,379852,280685,660537
S06,Jamnagar,670761,627838,1298599,344251,250324,594575
S06,Junagadh,673765,639299,1313064,417497,342452,759949
S06,Amreli,675038,637695,1312733,310779,213897,524676
S06,Bhavnagar,716544,665075,1381619,365718,258152,623870
S06,Anand,718365,678797,1397162,384395,291978,676373
S06,Kheda,741272,707299,1448571,354054,248281,602335
S06,Panchmahal,733279,690106,1423385,345311,261664,606975
S06,Dahod,602973,591848,1194821,285308,249115,534423
S06,Vadodara,786710,737350,1524060,421136,325921,747057
S06,Chhota Udaipur,728753,683553,1412306,421598,343684,765282
S06,Bharuch,675259,636280,1311539,405399,344018,749417
S06,Bardoli,737958,702257,1440215,442696,389682,832378
S06,Surat,786573,634396,1420969,409187,287162,696349
S06,Navsari,902783,720632,1623415,433741,323773,757514
S06,Valsad,704671,675574,1380245,408369,366028,774397
S07,Ambala,691750,573157,1264907,481015,385446,866461
S07,Kurukshetra,637997,528687,1166684,482025,393379,875404
S07,Sirsa,706039,603468,1309507,533146,447745,980891
S07,Hisar,653423,541266,1194689,457932,370269,828201
S07,Karnal,670412,546565,1216977,460404,350542,810946
S07,Sonipat,608216,491762,1099978,404276,307784,712060
S07,Rohtak,695376,579596,1274972,468014,367524,835538
S07,Bhiwani-Mahendragarh,646450,566063,1212513,460515,403603,864118
S07,Gurgaon,664532,579905,1244437,419911,336413,756324
S07,Faridabad,616759,486287,1103046,368584,256337,624921
S08,Kangra,604496,595669,1200165,325470,336252,661722
S08,Mandi,566942,545582,1112524,362651,349565,712216
S08,Hamirpur,596432,590945,1187377,328646,368817,697463
S08,Shimla,580851,525757,1106608,336895,279663,616558
S09,Baramulla,550443,504053,1054496,262526,178708,441234
S09,Srinagar,576035,530694,1106729,171569,111222,282791
S09,Anantnag,611571,564652,1176223,197440,121286,318726
S09,Ladakh,77943,74548,152491,53907,54089,107996
S09,Udhampur,716625,646435,1363060,363635,247875,611510
S09,Jammu,889091,830806,1719897,490462,352707,843169
S10,Chikkodi,659813,624614,1284427,456535,410587,867122
S10,Belgaum,700056,678182,1378238,405542,348037,753579
S10,Bagalkot,686339,677020,1363359,451012,408947,859959
S10,Bijapur,710822,662782,1373604,355571,294028,649599
S10,Gulbarga,778102,765669,1543771,398102,361300,759402
S10,Raichur,739046,747280,1486326,364055,318226,682281
S10,Bidar,760212,710295,1470507,408137,370989,779126
S10,Koppal,678825,684606,1363431,444028,311123,755151
S10,Bellary,706799,694459,1401258,446585,414202,860787
S10,Haveri,714075,657688,1371763,473355,398553,871908
S10,Dharwad,723069,688431,1411500,435915,361937,797852
S10,Uttara Kannada,661530,625026,1286556,404343,355409,759752
S10,Davanagere,691034,653886,1344920,483112,424135,907247
S10,Shimoga,715272,720636,1435908,485666,468306,953972
S10,Udupi Chikmagalur,594765,629570,1224335,414409,419946,834355
S10,Hassan,717405,699808,1417213,504636,475498,980134
S10,Dakshina Kannada,673121,691520,1364641,502963,512535,1015498
S10,Chitradurga,779895,754274,1534169,447547,387635,835182
S10,Tumkur,705580,683193,1388773,472067,427464,899531
S10,Mandya,757672,742072,1499744,530478,501535,1032013
S10,Mysore,834826,819165,1653991,509336,463612,972948
S10,Chamarajanagar,730258,703567,1433825,510400,463193,973593
S10,Bangalore Rural,992687,911448,1904135,580674,521932,1102606
S10,Bangalore North,1130292,1013799,2144091,540550,461035,1001585
S10,Bangalore central,989902,911444,1901346,454771,392050,846821
S10,Bangalore South,1071202,959828,2031030,494819,413803,908622
S10,Chikkballapur,734126,703029,1437155,514794,463533,978327
