State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
S01,ARUKU ST 1,709698,741626,94,1451418,523085,544258,19,1067362,2019
S01,SRIKAKULAM GEN 2,782059,771592,209,1553860,548060,594937,14,1143011,2019
S01,VIZIANAGARAM GEN 3,754016,749841,123,1503980,603059,605843,7,1208909,2019
S01,VISAKHAPATNAM GEN 4,918121,911063,116,1829300,608306,624713,7,1233026,2019
S01,ANAKAPALLI GEN 5,750238,771059,66,1521363,606111,626764,6,1232881,2019
S01,KAKINADA GEN 6,776029,787676,225,1563930,616003,611330,66,1227399,2019
S01,AMALAPURAM SC 7,729356,730171,29,1459556,617210,607337,0,1224547,2019
S01,RAJAHMUNDRY GEN 8,754010,780124,122,1534256,617706,626974,8,1244688,2019
S01,NARSAPURAM GEN 9,708948,730590,153,1439691,580907,587960,35,1168902,2019
S01,ELURU GEN 10,785582,809236,132,1594950,659879,662137,32,1322048,2019
S01,MACHILIPATNAM GEN 11,721530,751716,101,1473347,609214,626244,14,1235472,2019
S01,VIJAYAWADA GEN 12,815209,837611,174,1652994,632378,640718,36,1273132,2019
S01,GUNTUR GEN 13,830093,875813,213,1706119,659306,686873,31,1346210,2019
S01,NARASARAOPET GEN 14,821329,848856,206,1670391,707594,721882,49,1429525,2019
S01,BAPATLA SC 15,722659,745927,85,1468671,618167,636396,7,1254570,2019
S01,ONGOLE GEN 16,781275,775107,87,1556469,663664,659603,29,1323296,2019
S01,NANDYAL GEN 17,792281,810605,334,1603220,639159,649242,75,1288476,2019
S01,KURNOOL GEN 18,786727,786083,199,1573009,596807,585326,24,1182157,2019
S01,ANANTAPUR GEN 19,832562,831416,182,1664160,672882,661447,46,1334375,2019
S01,HINDUPUR GEN 20,795437,782709,72,1578218,672703,654120,20,1326843,2019
S01,KADAPA GEN 21,774593,795503,234,1570330,593730,625851,67,1219648,2019
S01,NELLORE GEN 22,821866,850746,233,1672845,629756,644145,33,1273934,2019
S01,TIRUPATI SC 23,810577,839621,255,1650453,643590,660641,31,1304262,2019
S01,RAJAMPET GEN 24,767156,779621,161,1546938,597375,615378,21,1212774,2019
S01,CHITTOOR SC 25,779702,786645,152,1566499,650995,658150,27,1309172,2019
S02,ARUNACHAL WEST GEN 1,225772,238003,0,463775,160826,183297,0,344123,2019
S02,ARUNACHAL EAST GEN 2,173975,165813,0,339788,139963,142891,0,282854,2019
S03,KARIMGANJ SC 1,698778,641377,18,1340173,556550,502069,0,1058619,2019
S03,SILCHAR GEN 2,618309,577336,75,1195720,485516,459284,2,944802,2019
S03,AUTONOMOUS DISTRICT ST 3,405384,390555,6,795945,312945,302927,0,615872,2019
S03,DHUBRI GEN 4,951329,907213,24,1858566,862010,820604,2,1682616,2019
S03,KOKRAJHAR ST 5,911117,865202,39,1776358,751087,718477,0,1469564,2019
S03,BARPETA GEN 6,873091,812042,16,1685149,750196,702041,1,1452238,2019
S03,GAUHATI GEN 7,1103376,1077865,78,2181319,899023,862213,4,1761240,2019
S03,MANGALDOI GEN 8,925555,874650,32,1800237,777107,724548,0,1501655,2019
S03,TEZPUR GEN 9,768222,731386,31,1499639,598677,587656,2,1186335,2019
S03,NOWGONG GEN 10,922280,872319,49,1794648,761620,728706,3,1490329,2019
S03,KALIABOR GEN 11,886655,848237,46,1734938,728541,693125,5,1421671,2019
S03,JORHAT GEN 12,693646,671382,7,1365035,535678,518560,1,1054239,2019
S03,DIBRUGARH GEN 13,664692,649599,28,1314319,514418,499258,1,1013677,2019
S03,LAKHIMPUR GEN 14,870146,837825,42,1708013,651081,628945,2,1280028,2019
S04,VALMIKI NAGAR GEN 1,894831,770575,96,1665502,530289,499397,2,1029688,2019
S04,PASCHIM CHAMPARAN GEN 2,879365,754396,63,1633824,524330,483548,5,1007883,2019
S04,PURVI CHAMPARAN GEN 3,883921,774725,26,1658672,502773,490037,0,992810,2019
S04,SHEOHAR GEN 4,896691,789456,68,1686215,500312,500529,0,1000841,2019
S04,SITAMARHI GEN 5,928701,823697,56,1752454,504721,529645,1,1034367,2019
S04,MADHUBANI GEN 6,946173,846574,51,1792798,454516,507776,2,962294,2019
S04,JHANJHARPUR GEN 7,970563,881787,67,1852417,496451,562801,0,1059252,2019
S04,SUPAUL GEN 8,880537,810054,29,1690620,529157,580683,0,1109840,2019
S04,ARARIA GEN 9,950539,854837,63,1805439,575565,593532,1,1169098,2019
S04,KISHANGANJ GEN 10,859058,800533,60,1659651,537374,563614,3,1100991,2019
S04,KATIHAR GEN 11,876094,777182,77,1653353,554254,562770,0,1117024,2019
S04,PURNIA GEN 12,916226,849036,50,1765312,574694,578456,1,1153151,2019
S04,MADHEPURA GEN 13,977022,907830,31,1884883,552934,592789,0,1145723,2019
S04,DARBHANGA GEN 14,876218,778572,21,1654811,468623,493457,2,962082,2019
