State,State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
ANDHRA PRADESH,S01,ARAKU ST 1,756088,800954,111,1557153,560845,582168,0,1143013,2024
ANDHRA PRADESH,S01,SRIKAKULAM GEN 2,821758,824812,116,1646686,583434,630675,14,1214123,2024
ANDHRA PRADESH,S01,VIZIANAGARAM GEN 3,791124,799780,90,1590994,636780,648518,24,1285322,2024
ANDHRA PRADESH,S01,VISAKHAPATNAM GEN 4,952279,979004,115,1931398,666337,704168,41,1370546,2024
ANDHRA PRADESH,S01,ANAKAPALLE GEN 5,784191,817141,33,1601365,638070,671515,16,1309601,2024
ANDHRA PRADESH,S01,KAKINADA GEN 6,805234,829501,186,1634921,652890,659778,102,1312770,2024
ANDHRA PRADESH,S01,AMALAPURAM SC 7,759898,772310,21,1532229,644627,640319,11,1284957,2024
ANDHRA PRADESH,S01,RAJAHMUNDRY GEN 8,792975,830780,97,1623852,647732,666090,60,1313882,2024
ANDHRA PRADESH,S01,NARSAPURAM GEN 9,722388,751345,78,1473811,602695,614581,47,1217323,2024
ANDHRA PRADESH,S01,ELURU GEN 10,799901,838089,126,1638116,676946,693751,54,1370751,2024
ANDHRA PRADESH,S01,MACHILIPATNAM GEN 11,746622,793366,57,1540045,631911,662040,27,1293978,2024
ANDHRA PRADESH,S01,VIJAYAWADA GEN 12,830857,873461,151,1704469,663232,690007,99,1353338,2024
ANDHRA PRADESH,S01,GUNTUR GEN 13,867085,926080,159,1793324,686759,726457,62,1413278,2024
ANDHRA PRADESH,S01,NARSARAOPET GEN 14,847765,888206,191,1736162,727861,758617,88,1486566,2024
ANDHRA PRADESH,S01,BAPATLA SC 15,739959,771133,85,1511177,631216,656361,40,1287617,2024
ANDHRA PRADESH,S01,ONGOLE GEN 16,809009,805409,107,1614525,701248,699852,74,1401174,2024
ANDHRA PRADESH,S01,NANDYAL GEN 17,844830,879029,332,1724191,685792,701399,176,1387367,2024
ANDHRA PRADESH,S01,KURNOOLU GEN 18,853777,870170,244,1724191,666126,656848,97,1323071,2024
ANDHRA PRADESH,S01,ANANTHAPUR GEN 19,874405,894625,234,1769264,710510,713244,107,1423861,2024
ANDHRA PRADESH,S01,HINDUPUR GEN 20,825761,832692,76,1658529,704696,699324,36,1404056,2024
ANDHRA PRADESH,S01,KADAPA GEN 21,803077,838056,216,1641349,634349,669820,87,1304256,2024
ANDHRA PRADESH,S01,NELLORE GEN 22,838816,873840,184,1712840,668498,685909,74,1354481,2024
ANDHRA PRADESH,S01,THIRUPATHI SC 23,843597,886573,148,1730318,673487,694837,38,1368362,2024
ANDHRA PRADESH,S01,RAJAMPET GEN 24,819081,848172,132,1667385,645420,672034,52,1317506,2024
ANDHRA PRADESH,S01,CHITTOOR SC 25,809374,834087,132,1643593,694417,712402,62,1406881,2024
ARUNACHAL PRADESH,S02,ARUNACHAL WEST GEN 1,251346,268735,4,520085,177023,202586,2,379611,2024
ARUNACHAL PRADESH,S02,ARUNACHAL EAST GEN 2,192732,185624,1,378357,153140,158252,0,311392,2024
ASSAM,S03,KOKRAJHAR ST 1,750857,743540,7,1494404,615168,625137,1,1240306,2024
ASSAM,S03,DHUBRI GEN 2,1365321,1298641,25,2663987,1253081,1196954,5,2450040,2024
ASSAM,S03,BARPETA GEN 3,1007761,971269,21,1979051,850460,826164,9,1676633,2024
ASSAM,S03,DARRANG-UDALGURI GEN 4,1113643,1100840,33,2214516,913392,898364,8,1811764,2024
ASSAM,S03,GUWAHATI GEN 5,1003991,1035716,58,2039765,789748,806677,7,1596432,2024
ASSAM,S03,DIPHU ST 6,449575,452456,19,902050,338459,343977,5,682441,2024
ASSAM,S03,KARIMGANJ GEN 7,725446,689062,12,1414520,584655,555694,0,1140349,2024
